#Programa,Nombre de Programa,Stored Procedure
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_PERCEPCIONELECTRONICA_NF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_PERCEPCIONELECTRONICA_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_DF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_ET_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_LG_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_NF_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_PE
216,Retencion/Percepcion Ele Pe/Sv,DBO.PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_SV
217,Proceso Envio/Consulta Tekra,PR_ERP_FNZ_QRY_WS_CONSULTAFACTURACOMPRAELECTRONICA_SV
217,Proceso Envio/Consulta Tekra,PR_ERP_FNZ_QRY_WS_FACTURACOMPRAELECTRONICA_SV
235,Envio Correo Cotizacion,USP_ENVIA_EMAIL_COTIZA
457,Selector Ordenes de Trabajo,USP_GIM_PROCESAOTS
484,Selector Sucursal Intercompany,PR_ERP_FNZ_QRY_GN_SelectorSucursales
552,Codigo EAN/NCM/Sunat,CAD_WS_ACTUALIZA_CODEAN
552,Codigo EAN/NCM/Sunat,CAD_WS_ACTUALIZA_CODEAN
565,Cambia Numero a Letras,USP_NUMERO_LETRAS
571,Elimina Vouchers Generados,USP_ANULACION_VOUCHER_GENERADO
571,Elimina Vouchers Generados,USP_ANULACION_VOUCHER_GENERADO
572,Actualiza Saldo Contable,USP_ACTUALIZA_SALDOS_CONTABLE
575,Asiento Caja Liquidacion,USP_ADM_ASIENTO_CAJA_LIQUIDACION
575,Asiento Caja Liquidacion,USP_ASIENTO_CAJA_LIQUIDACION
576,Asiento Egreso Banco,USP_ADM_ASIENTO_EGRESO_BANCO
576,Asiento Egreso Banco,USP_ASIENTO_EGRESO_BANCO
577,Asiento Ingreso Banco / APL BD,USP_ADM_ASIENTO_APLICACION_BDB
